bEd	"kama	bed
tri	"a4Bol	tree
"pEns@l	"lapiT	pencil
haUs	"kasa	house
"wIs@l	sil"Ba4	whistle
"sIz@rz	ti"xe4as	scissors
koUm	"peine	comb
"flaw@r	flo4	flower
sO	se"rutSo	saw
"tuTbr@S	Te"piLo_De_"Djentes	toothbrush
"hElI%kApt@r	eli"kopte4o	helicopter
brum	es"koBa	broom
"Akt@%pUs	"pulpo	octopus
"mVSrum	"seta	mushroom
"h{N@r	"pe4tSa	hanger
"wil%tSEr	"siLa_De_"rweDas	wheelchair
"k{m@l	ka"meLo	camel
m{sk	"maska4a	mask
"prEtz@l	p4et"Tel	pretzel
bEntS	"baNko	bench
"r{kIt	ra"keta	racquet
sneIl	ka4a"kol	snail
vAl"keInoU	bol"kan	volcano
sihOrs	ka"BaLo_De_ma4	seahorse
dArt	"da4Do	dart
k@"nu	ka"noa	canoe
gloUb	g"loBo	globe
riT	gi4"nalda	wreath
"biv@r	kas"to4	beaver
hAr"mAnIk@	a4"monika	harmonica
raI"nAs@r@s	rinoTe"4onte	rhinoceros
"eIkOrn	be"Lota	acorn
"Iglu	i"Glu	igloo
stIlts	"TaNkos	stilts
"dAm@%noUz	domi"no	dominoes
"k{kt@s	"kaktus	cactus
"Esk@%leIt@r	eska"le4a_me"kanika	escalator
hArp	"a4pa	harp
"h{m@k	a"maka	hammock
"nAk@r	al"daBa	knocker
"pEl@k@n	pe"likano	pelican
"stET@%skoUp	estetos"kopjo	stethoscope
"pIr@mId	pi"4amiDe	pyramid
"mVz@l	bo"Tal	muzzle
"junI%kOrn	uni"ko4njo	unicorn
"fVn@l	em"buDo	funnel
@"kOrdi@n	ako4De"on	accordion
nus	"laTo	noose
@"spEr@g@s	es"paraGos	asparagus
"kVmp@s	"b4uxula	compass
l{tS	pes"tiLo	latch
"traI%pAd	"t4ipoDe	tripod
skroUl	bo"luta	scroll
tANz	te"naTas	tongs
sfINks	es"fiNxe	sphinx
joUk	"j\uGo	yoke
"trEl@s	enre"xaDo	trellis
"p{l@t	pa"leta	palette
proU"tr{kt@r	t4anspo4ta"Do4	protractor
"{b@k@s	"aBako	abacus
