"kama	bEd	bed
"a4Bol	tri	tree
"lapiT	"pEns@l	pencil
"kasa	haUs	house
sil"Ba4	"wIs@l	whistle
ti"xe4as	"sIz@rz	scissors
"peine	koUm	comb
flo4	"flaw@r	flower
se"rutSo	sO	saw
Te"piLo_De_"Djentes	"tuTbr@S	toothbrush
eli"kopte4o	"hElI%kApt@r	helicopter
es"koBa	brum	broom
"pulpo	"Akt@%pUs	octopus
"seta	"mVSrum	mushroom
"pe4tSa	"h{N@r	hanger
"siLa_De_"rweDas	"wil%tSEr	wheelchair
ka"meLo	"k{m@l	camel
"maska4a	m{sk	mask
p4et"Tel	"prEtz@l	pretzel
"baNko	bEntS	bench
ra"keta	"r{kIt	racquet
ka4a"kol	sneIl	snail
bol"kan	vAl"keInoU	volcano
ka"BaLo_De_ma4	sihOrs	seahorse
"da4Do	dArt	dart
ka"noa	k@"nu	canoe
g"loBo	gloUb	globe
gi4"nalda	riT	wreath
kas"to4	"biv@r	beaver
a4"monika	hAr"mAnIk@	harmonica
rinoTe"4onte	raI"nAs@r@s	rhinoceros
be"Lota	"eIkOrn	acorn
i"Glu	"Iglu	igloo
"TaNkos	stIlts	stilts
domi"no	"dAm@%noUz	dominoes
"kaktus	"k{kt@s	cactus
eska"le4a_me"kanika	"Esk@%leIt@r	escalator
"a4pa	hArp	harp
a"maka	"h{m@k	hammock
al"daBa	"nAk@r	knocker
pe"likano	"pEl@k@n	pelican
estetos"kopjo	"stET@%skoUp	stethoscope
pi"4amiDe	"pIr@mId	pyramid
bo"Tal	"mVz@l	muzzle
uni"ko4njo	"junI%kOrn	unicorn
em"buDo	"fVn@l	funnel
ako4De"on	@"kOrdi@n	accordion
"laTo	nus	noose
es"paraGos	@"spEr@g@s	asparagus
"b4uxula	"kVmp@s	compass
pes"tiLo	l{tS	latch
"t4ipoDe	"traI%pAd	tripod
bo"luta	skroUl	scroll
te"naTas	tANz	tongs
es"fiNxe	sfINks	sphinx
"j\uGo	joUk	yoke
enre"xaDo	"trEl@s	trellis
pa"leta	"p{l@t	palette
t4anspo4ta"Do4	proU"tr{kt@r	protractor
"aBako	"{b@k@s	abacus
