"kama	bed
"a4Bol	tree
"lapiT	pencil
"kasa	house
sil"Ba4	whistle
ti"xe4as	scissors
"peine	comb
flo4	flower
se"rutSo	saw
Te"piLo_De_"Djentes	toothbrush
eli"kopte4o	helicopter
es"koBa	broom
"pulpo	octopus
"seta	mushroom
"pe4tSa	hanger
"siLa_De_"rweDas	wheelchair
ka"meLo	camel
"maska4a	mask
p4et"Tel	pretzel
"baNko	bench
ra"keta	racquet
ka4a"kol	snail
bol"kan	volcano
ka"BaLo_De_ma4	seahorse
"da4Do	dart
ka"noa	canoe
g"loBo	globe
gi4"nalda	wreath
kas"to4	beaver
a4"monika	harmonica
rinoTe"4onte	rhinoceros
be"Lota	acorn
i"Glu	igloo
"TaNkos	stilts
domi"no	dominoes
"kaktus	cactus
eska"le4a_me"kanika	escalator
"a4pa	harp
a"maka	hammock
al"daBa	knocker
pe"likano	pelican
estetos"kopjo	stethoscope
pi"4amiDe	pyramid
bo"Tal	muzzle
uni"ko4njo	unicorn
em"buDo	funnel
ako4De"on	accordion
"laTo	noose
es"paraGos	asparagus
"b4uxula	compass
pes"tiLo	latch
"t4ipoDe	tripod
bo"luta	scroll
te"naTas	tongs
es"fiNxe	sphinx
"j\uGo	yoke
enre"xaDo	trellis
pa"leta	palette
t4anspo4ta"Do4	protractor
"aBako	abacus
